PedidoEnviado;Barra;Qtd_Pedido;DataPedido;Qtd_Atendida;Qtd_Atendida_Not;NumeroNotaPedido;Observacao
18164358;7898574611462;6;13/05/2022;6;6;00434015;PRODUTO FATURADO
18167192;7896181907572;6;13/05/2022;6;6;00434154;PRODUTO FATURADO
18169742;7896181907220;1;14/05/2022;0;;;FALTA ESTOQUE
18173103;7896181906384;6;16/05/2022;6;6;00434217;PRODUTO FATURADO
18189972;7896181927570;3;17/05/2022;3;3;00434679;PRODUTO FATURADO
18193457;7896181913214;20;18/05/2022;0;;;
28094974;7896181901006;3;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896181909460;6;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28094974;7896181922285;6;02/05/2022;0;;;CANCELADO + DE 7 DIAS SEM RETORNO
28108012;7896181918707;48;04/05/2022;0;;;FALTA ESTOQUE
28108012;7896181924166;12;04/05/2022;0;;;FALTA ESTOQUE
38092878;7896181907077;6;02/05/2022;0;;;FALTA ESTOQUE
38092878;7896181918424;6;02/05/2022;0;;;FALTA ESTOQUE
38092878;7896181924081;6;02/05/2022;0;;;FALTA ESTOQUE
38093089;7896181913542;3;02/05/2022;0;;;FALTA ESTOQUE
38093615;7896181918424;12;02/05/2022;0;;;FALTA ESTOQUE
38093615;7896181925811;2;02/05/2022;0;;;FALTA ESTOQUE
38093615;7896181925859;2;02/05/2022;0;;;FALTA ESTOQUE
38095688;7896181911715;20;02/05/2022;0;;;FALTA ESTOQUE
38100748;7896181927730;10;03/05/2022;0;;;FALTA ESTOQUE
38101610;7896181909279;12;03/05/2022;12;12;00432297;PRODUTO FATURADO
38105551;7896181909279;72;04/05/2022;0;;;FALTA ESTOQUE
38108011;7896181927037;2;04/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
38116556;7896181909439;3;05/05/2022;0;;;FALTA ESTOQUE
38116586;7896181922377;48;05/05/2022;0;;;PROBLEMAS CADASTRAIS (Cliente Bloqueado)
38123228;7896181926788;2;06/05/2022;0;;;FALTA ESTOQUE
38123419;7896181901341;6;06/05/2022;0;;;FALTA ESTOQUE
38124427;7896181926788;6;06/05/2022;0;;;PROBLEMAS CADASTRAIS (Cliente Bloqueado)
38124494;7896181922377;24;06/05/2022;0;;;FALTA ESTOQUE
38124494;7896181926788;3;06/05/2022;0;;;FALTA ESTOQUE
38131041;7896181913542;3;09/05/2022;0;;;FALTA ESTOQUE
38131101;7896658018954;4;09/05/2022;0;;;FALTA ESTOQUE
38132850;7896181909262;10;09/05/2022;0;;;FALTA ESTOQUE
38140850;7896181922667;20;10/05/2022;0;;;FALTA ESTOQUE
38141189;7896181913306;12;10/05/2022;0;;;FALTA ESTOQUE
38141189;7896181914280;20;10/05/2022;0;;;FALTA ESTOQUE
38141189;7896181914303;20;10/05/2022;0;;;FALTA ESTOQUE
38141191;7896658038334;2;10/05/2022;0;;;FALTA ESTOQUE
38141379;7896181918424;10;10/05/2022;0;;;FALTA ESTOQUE
38141472;7896181911715;12;10/05/2022;0;;;FALTA ESTOQUE
38141472;7896181926757;2;10/05/2022;0;;;FALTA ESTOQUE
38142429;7896181922377;3;10/05/2022;0;;;FALTA ESTOQUE
38142431;7896181922667;40;10/05/2022;0;;;FALTA ESTOQUE
38151188;7896181927068;2;11/05/2022;0;;;PRODUTO NÃO CADASTRADO / DESATIVADO
38159852;7896181911036;96;12/05/2022;0;;;FALTA ESTOQUE
38159879;7896181922667;20;12/05/2022;0;;;FALTA ESTOQUE
38174800;7896181909538;3;16/05/2022;0;;;FALTA ESTOQUE
38174800;7896181914303;3;16/05/2022;0;;;FALTA ESTOQUE
38174800;7896181925859;2;16/05/2022;0;;;FALTA ESTOQUE
38174876;7896181911975;3;16/05/2022;0;;;FALTA ESTOQUE
18169742;7896181926757;1;14/05/2022;0;;;FALTA ESTOQUE
18173103;7896181928676;20;16/05/2022;20;20;00434217;PRODUTO FATURADO
18193457;7896181928393;6;18/05/2022;0;;;
