PedidoEnviado;Barra;Qtd_Pedido;DataPedido;Qtd_Atendida;Qtd_Atendida_Not;NumeroNotaPedido;Observacao
18094003;7896181916451;2;14/04/2022;2;2;00000000000006016956;ATENDIDO
18094003;7896658006920;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094003;7896658009518;6;14/04/2022;0;;;FALTA DE ESTOQUE
18094003;7896658016653;1;14/04/2022;1;1;00000000000006016956;ATENDIDO
18094003;7896658019531;2;14/04/2022;2;2;00000000000006016956;ATENDIDO
18094003;7896658026195;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094011;7896658001901;8;14/04/2022;8;8;00000000000016070907;ATENDIDO
18094014;7896181914280;60;14/04/2022;0;;;FALTA DE ESTOQUE
18094016;7896658001901;1;14/04/2022;1;1;00000000000016070968;ATENDIDO
18094016;7896658001925;3;14/04/2022;3;3;00000000000016070968;ATENDIDO
18094020;7896181918691;20;14/04/2022;20;20;00000000000006017874;ATENDIDO
18094026;7896181915171;3;14/04/2022;3;3;00000000000006016734;ATENDIDO
18094026;7896658012419;1;14/04/2022;1;1;00000000000006016734;ATENDIDO
18094029;7896181907176;2;14/04/2022;2;2;00000000000004431175;ATENDIDO
18094033;7896181921363;24;14/04/2022;24;24;00000000000016718942;ATENDIDO
18094038;7896658001918;2;14/04/2022;0;;;FALTA DE ESTOQUE
18094038;7896658012303;2;14/04/2022;0;;;FALTA DE ESTOQUE
18094039;7896658009518;6;14/04/2022;0;;;FALTA DE ESTOQUE
18094039;7896658028496;1;14/04/2022;1;1;00000000000006016837;ATENDIDO
18094053;7896658012303;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094065;7896658029523;1;14/04/2022;1;1;00000000000016073687;ATENDIDO
18094068;7896658003653;2;14/04/2022;0;;;FALTA DE ESTOQUE
18094068;7896658009518;5;14/04/2022;0;;;FALTA DE ESTOQUE
18094068;7896658026645;3;14/04/2022;3;3;00000000000006017182;ATENDIDO
18094083;7896658000652;1;14/04/2022;1;1;00000000000016073819;ATENDIDO
18094087;7896658005466;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094108;7896181915188;2;14/04/2022;2;2;00000000000018783163;ATENDIDO
18094108;7896658019531;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094111;7896658034466;1;14/04/2022;1;1;00000000000006493360;ATENDIDO
18094132;7896181907176;1;14/04/2022;1;1;00000000000016720207;ATENDIDO
18094132;7896658008122;1;14/04/2022;1;1;00000000000016720207;ATENDIDO
18094132;7896658008825;1;14/04/2022;1;1;00000000000016720207;ATENDIDO
18094193;7896658036019;2;14/04/2022;2;2;00000000000018788288;ATENDIDO
18094287;7896658021640;1;14/04/2022;0;;;FALTA DE ESTOQUE
18094287;7896658036477;1;14/04/2022;1;1;00000000000001469687;ATENDIDO
18094302;7896658003172;1;14/04/2022;1;1;00000000000001469980;ATENDIDO
18094302;7896658003189;1;14/04/2022;0;;;FALTA DE ESTOQUE
